BLUEPRINT_ID	Group	Sub-group	Sex	Cell type	Disease	URL
S00XDK11	bone marrow	Multiple Myeloma	Male	plasma cell	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/15548/Multiple_Myeloma/RNA-Seq/MPIMG/S00XDK11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
MM_4	bone marrow	Multiple Myeloma	Female	neoplastic plasma cell	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/19492/Multiple_Myeloma/RNA-Seq/IDIBAPS/MM_4.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00XCM11	bone marrow	Multiple Myeloma	Female	plasma cell	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/22965/Multiple_Myeloma/RNA-Seq/MPIMG/S00XCM11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
MM_7	bone marrow	Multiple Myeloma	Male	neoplastic plasma cell	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/23376/Multiple_Myeloma/RNA-Seq/IDIBAPS/MM_7.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00XEI11	bone marrow	Multiple Myeloma	Female	plasma cell	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/23977/Multiple_Myeloma/RNA-Seq/MPIMG/S00XEI11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
MM_30	bone marrow	Multiple Myeloma	Male	neoplastic plasma cell	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/26452/Multiple_Myeloma/RNA-Seq/IDIBAPS/MM_30.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
MM_40	bone marrow	Multiple Myeloma	Male	neoplastic plasma cell	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/26707/Multiple_Myeloma/RNA-Seq/IDIBAPS/MM_40.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
MM_38	bone marrow	Multiple Myeloma	Female	neoplastic plasma cell	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/27747/Multiple_Myeloma/RNA-Seq/IDIBAPS/MM_38.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
MM_39	bone marrow	Multiple Myeloma	Female	neoplastic plasma cell	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/27855/Multiple_Myeloma/RNA-Seq/IDIBAPS/MM_39.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
MM_83	bone marrow	Multiple Myeloma	Female	neoplastic plasma cell	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/30926/Multiple_Myeloma/RNA-Seq/IDIBAPS/MM_83.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
